country_name,population,population_below_poverty_line,hdi,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,gni
India,1339180127,21.9,0.623558794,68.322,11.69659,6.298833561,5663.474799
Nigeria,190886311,70,0.527104539,53.057,9.970482,6,5442.901264
Mexico,129163276,46.2,0.761682897,76.972,13.29909,8.554984833,16383.10668
Pakistan,197015955,29.5,0.550354165,66.365,8.10691,5.08946,5031.173074
Bangladesh,164669751,31.5,0.578824028,71.985,10.178706,5.241576537,3341.490722
Democratic Republic of the Congo,81339988,63,0.43546467,59.057,9.75,6.117152596,679.6312234
United States,324459463,15.1,0.919553056,79.222,16.53815,13.21789033,53245.07696
China,1409517397,3.3,0.73768059,75.963,13.53575,7.641839959,13345.47746
Ethiopia,104957438,29.6,0.447750459,64.602,8.35152,2.580780019,1522.954782
Indonesia,263991379,10.9,0.68884703,69.052,12.86766,7.934816941,10053.3377
Egypt,97553151,25.2,0.691391634,71.325,13.0989,7.11,10064.05991
Philippines,104918090,21.6,0.681798894,68.34,11.73302,9.32687,8395.094758
Kenya,49699862,43.4,0.554678518,62.164,11.08,6.314098465,2880.739597
Japan,127484450,16.1,0.90346208,83.684,15.34048,12.464,37267.96407
Russia,143989754,13.3,0.803908285,70.264,14.95315,12.01999,23286.08065
Sudan,40533330,46.5,0.490188348,63.732,7.20526,3.522,3846.370533
Madagascar,25570895,70.7,0.512149003,65.515,10.34614,6.145954825,1319.699397
Italy,59359900,29.9,0.886552111,83.338,16.25827,10.86879343,33572.98249
Turkey,80745020,21.9,0.76699597,75.528,14.59658499,7.88786,18704.52728
Yemen,28250420,54,0.482402156,64.053,8.9895,3,2300.272279
Iran,81162788,18.7,0.774063206,75.581,14.82424,8.77,16395.17737
Syria,18269868,82.5,0.535886844,69.652,8.95343,5.0625,2440.599224
Argentina,44271041,32.2,0.82740051,76.457,17.2605,9.85,20945.12105
Germany,82114224,16.7,0.925668941,81.092,17.09594,13.18762553,44999.64714
Mozambique,29668834,46.1,0.417590161,55.478,9.06883,3.499115605,1098.435768
Myanmar,53370609,25.6,0.555566347,66.118,9.074,4.744,4943.12863
Colombia,49065615,27.8,0.727287287,74.229,13.59537,7.555875831,12762.20529
Tanzania,57310019,22.8,0.530576616,65.512,8.92369,5.78,2466.902694
Afghanistan,35530081,35.8,0.479375006,60.704,10.05375,3.55,1870.827131
Angola,29784193,40.5,0.533464073,52.698,11.39,4.979858432,6290.895886
Zimbabwe,16529904,72.3,0.515640183,59.2,10.31433,7.73428,1587.723183
Ivory Coast,24294750,46.3,0.473679285,51.889,8.9473995,5,3162.738853
VietNam,95540800,11.3,0.683277514,75.939,12.627351,7.988721822,5334.526859
Ukraine,44222947,24.1,0.743049423,71.129,15.30672,11.34,7361.011228
Zambia,17094130,60.5,0.579069986,60.819,12.5123,6.896,3463.712718
Guatemala,16913503,59.3,0.639570415,72.062,10.7211,6.302370007,7063.204406
United Kingdom,66181585,15,0.909490906,80.849,16.3109,13.28412,37930.82701
Spain,46354321,21.1,0.884153255,82.767,17.70032,9.79079,32778.51507
Niger,21477348,45.4,0.35264067,61.936,5.42265,1.658,889.4556458
Algeria,41318142,23,0.744805577,75.027,14.35778,7.785367056,13532.96078
Malawi,18622104,50.7,0.475935463,63.88,10.75378,4.402,1073.290846
